labels,X,Y,Z
rpa   ,-10,-76.3,-35
nasion,98,0.7,-15
lpa   ,-10,77.7,-35
1RD,49.5,-72.2,-30.5
2RD,9.7,-81.3,-41.6
3RD,-41.6,-78.8,-53.7
4RD,-78,-57.9,-57.6
1RC,66.5,-62.8,6
2RC,27.6,-81.9,-5.5
3RC,-12.7,-88.6,-7.6
4RC,-56.4,-81.5,-15.6
5RC,-88.3,-58.2,-19.7
1RB,74.3,-51.6,36.2
2RB,41.6,-74,33.3
3RB,-0.2,-84.9,33.4
4RB,-44.4,-83.3,27.2
5RB,-85.8,-58.6,17.5
1RA,23.9,-66,62.1
2RA,-25.9,-67.9,67.9
3RA,-63.8,-60.3,60.5
1R,89.7,-28.5,18.7
2R,70.8,-31.5,61.3
3R,40,-33.6,82.5
4R,-0.6,-33.9,91.6
5R,-38.2,-34,91.1
6R,-74.8,-32.7,75.2
7R,-93.3,-31,49.3
8R,-104.7,-28.9,11.8
9R,-110,-25.6,-20.7
10R,-104.3,-24.9,-52.8
0Z,89.5,0.7,18
1Z,83.8,0.7,51
2Z,55.1,0.7,82.2
3Z,19,0.7,96.6
4Z,-21.9,0.7,99.4
5Z,-59.9,0.7,90
6Z,-88.3,0.7,66.1
7Z,-102.7,0.7,30.6
8Z,-112.4,0.7,-3.5
9Z,-111.3,0.7,-39.4
1L,89.2,30.4,17.3
2L,68.5,32.9,61.8
3L,34.4,34,83.4
4L,-1.9,33.8,90.7
5L,-41.3,37.7,88.4
6L,-74.7,37.6,72.1
7L,-91,35.4,45.4
8L,-103,30.6,8.2
9L,-106.3,28.5,-22.3
10L,-102.2,24.3,-54.3
1LA,19.8,66.4,63.2
2LA,-26.5,67.9,65.8
3LA,-67.3,61.2,53.8
1LB,71.1,54.4,34.3
2LB,38.7,77.7,31
3LB,-5.4,86.9,29.9
4LB,-50.3,81.5,20.9
5LB,-83.1,59,15.6
1LC,65.1,64.5,0.4
2LC,26.6,82.5,-5.9
3LC,-18,89.1,-9.8
4LC,-58.7,78.3,-18.1
5LC,-87.5,54.7,-22.7
1LD,49,71.8,-35.7
2LD,8.4,80.3,-41
3LD,-34.8,77,-58.2
4LD,-78.9,53.8,-59.4
VEOGL,49.9,40,-31.6
